"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","should fetch all books","","Thu Nov 20 09:15:23 UTC 2025","passed","Thu Nov 20 09:15:23 UTC 2025","","Books API","",""
"","227","should create a second author","","Thu Nov 20 09:15:21 UTC 2025","passed","Thu Nov 20 09:15:22 UTC 2025","","Authors API Tests","",""
"","100","should fetch author by ID with correct properties","","Thu Nov 20 09:15:22 UTC 2025","passed","Thu Nov 20 09:15:22 UTC 2025","","Authors API Tests","",""
"","114","should create a second book successfully","","Thu Nov 20 09:15:23 UTC 2025","passed","Thu Nov 20 09:15:23 UTC 2025","","Books API","",""
"","110","should return 404 for non-existing author","","Thu Nov 20 09:15:22 UTC 2025","passed","Thu Nov 20 09:15:22 UTC 2025","","Authors API Tests","",""
"","111","should return 404 when updating a non-existing book","","Thu Nov 20 09:15:24 UTC 2025","passed","Thu Nov 20 09:15:24 UTC 2025","","Books API","",""
"","209","should fetch all authors","","Thu Nov 20 09:15:22 UTC 2025","passed","Thu Nov 20 09:15:22 UTC 2025","","Authors API Tests","",""
"","286","should fetch a book by ID with correct properties","","Thu Nov 20 09:15:23 UTC 2025","passed","Thu Nov 20 09:15:24 UTC 2025","","Books API","",""
"","92","should delete an existing author","","Thu Nov 20 09:15:22 UTC 2025","passed","Thu Nov 20 09:15:22 UTC 2025","","Authors API Tests","",""
"","107","should fetch authors by book ID","","Thu Nov 20 09:15:22 UTC 2025","passed","Thu Nov 20 09:15:22 UTC 2025","","Authors API Tests","",""
"","93","should delete an existing book","","Thu Nov 20 09:15:24 UTC 2025","passed","Thu Nov 20 09:15:24 UTC 2025","","Books API","",""
"","91","should fail to delete non-existing author","","Thu Nov 20 09:15:22 UTC 2025","passed","Thu Nov 20 09:15:23 UTC 2025","","Authors API Tests","",""
"","92","should return 404 when deleting a non-existing book","","Thu Nov 20 09:15:24 UTC 2025","passed","Thu Nov 20 09:15:24 UTC 2025","","Books API","",""
"","101","should fail to update non-existing author","","Thu Nov 20 09:15:22 UTC 2025","passed","Thu Nov 20 09:15:22 UTC 2025","","Authors API Tests","",""
"","112","should update an existing book successfully","","Thu Nov 20 09:15:24 UTC 2025","passed","Thu Nov 20 09:15:24 UTC 2025","","Books API","",""
"","97","should update an existing author","","Thu Nov 20 09:15:22 UTC 2025","passed","Thu Nov 20 09:15:22 UTC 2025","","Authors API Tests","",""
"","342","should return 404 for a non-existing book","","Thu Nov 20 09:15:24 UTC 2025","passed","Thu Nov 20 09:15:24 UTC 2025","","Books API","",""
"","97","should return empty array for book ID with no authors","","Thu Nov 20 09:15:22 UTC 2025","passed","Thu Nov 20 09:15:22 UTC 2025","","Authors API Tests","",""
