"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138","creates book with XSS payload safely","","Wed Nov 26 07:46:45 UTC 2025","passed","Wed Nov 26 07:46:45 UTC 2025","","Books API Tests:","",""
"","140","retrieves author by ID successfully","","Wed Nov 26 07:46:48 UTC 2025","passed","Wed Nov 26 07:46:48 UTC 2025","","Authors API Tests:","",""
"","142","retrieves book by extremely large ID responds with error","","Wed Nov 26 07:46:42 UTC 2025","passed","Wed Nov 26 07:46:42 UTC 2025","","Books API Tests:","",""
"","138","updates book successfully","","Wed Nov 26 07:46:46 UTC 2025","passed","Wed Nov 26 07:46:46 UTC 2025","","Books API Tests:","",""
"","141","retrieves author using float ID returns 400","","Wed Nov 26 07:46:49 UTC 2025","passed","Wed Nov 26 07:46:49 UTC 2025","","Authors API Tests:","",""
"","143","retrieves book by non-numeric ID responds with 400","","Wed Nov 26 07:46:41 UTC 2025","passed","Wed Nov 26 07:46:42 UTC 2025","","Books API Tests:","",""
"","275","retrieves all books successfully","","Wed Nov 26 07:46:41 UTC 2025","passed","Wed Nov 26 07:46:41 UTC 2025","","Books API Tests:","",""
"","144","creates book with invalid publishDate responds with error","","Wed Nov 26 07:46:43 UTC 2025","passed","Wed Nov 26 07:46:43 UTC 2025","","Books API Tests:","",""
"","139","creates author with empty payload returns error","","Wed Nov 26 07:46:50 UTC 2025","failed","Wed Nov 26 07:46:50 UTC 2025","","Authors API Tests:","",""
"","139","updates non-existing book responds with 404","","Wed Nov 26 07:46:46 UTC 2025","failed","Wed Nov 26 07:46:46 UTC 2025","","Books API Tests:","",""
"","138","updates author using empty payload returns error","","Wed Nov 26 07:46:51 UTC 2025","failed","Wed Nov 26 07:46:51 UTC 2025","","Authors API Tests:","",""
"","142","retrieves book by negative ID responds with 404","","Wed Nov 26 07:46:42 UTC 2025","passed","Wed Nov 26 07:46:42 UTC 2025","","Books API Tests:","",""
"","272","deletes book twice returns 404 on second attempt","","Wed Nov 26 07:46:47 UTC 2025","failed","Wed Nov 26 07:46:47 UTC 2025","","Books API Tests:","",""
"","139","updates author successfully","","Wed Nov 26 07:46:50 UTC 2025","passed","Wed Nov 26 07:46:50 UTC 2025","","Authors API Tests:","",""
"","140","creates author with missing firstName returns error","","Wed Nov 26 07:46:49 UTC 2025","failed","Wed Nov 26 07:46:49 UTC 2025","","Authors API Tests:","",""
"","139","retrieves author using negative ID returns 404","","Wed Nov 26 07:46:49 UTC 2025","passed","Wed Nov 26 07:46:49 UTC 2025","","Authors API Tests:","",""
"","142","creates author with missing lastName returns error","","Wed Nov 26 07:46:49 UTC 2025","failed","Wed Nov 26 07:46:49 UTC 2025","","Authors API Tests:","",""
"","143","creates book with negative pageCount responds with error","","Wed Nov 26 07:46:43 UTC 2025","failed","Wed Nov 26 07:46:43 UTC 2025","","Books API Tests:","",""
"","151","retrieves book by ID with all required properties","","Wed Nov 26 07:46:41 UTC 2025","passed","Wed Nov 26 07:46:41 UTC 2025","","Books API Tests:","",""
"","142","updates book with empty payload responds with error","","Wed Nov 26 07:46:46 UTC 2025","failed","Wed Nov 26 07:46:46 UTC 2025","","Books API Tests:","",""
"","138","creates book with zero pageCount responds with error","","Wed Nov 26 07:46:45 UTC 2025","failed","Wed Nov 26 07:46:46 UTC 2025","","Books API Tests:","",""
"","138","creates book with SQL injection pattern safely","","Wed Nov 26 07:46:45 UTC 2025","passed","Wed Nov 26 07:46:45 UTC 2025","","Books API Tests:","",""
"","141","creates book with very old publish date responds with error","","Wed Nov 26 07:46:45 UTC 2025","failed","Wed Nov 26 07:46:45 UTC 2025","","Books API Tests:","",""
"","142","creates book with empty title and description responds with error","","Wed Nov 26 07:46:44 UTC 2025","failed","Wed Nov 26 07:46:44 UTC 2025","","Books API Tests:","",""
"","140","retrieves book by float ID responds with 400","","Wed Nov 26 07:46:42 UTC 2025","passed","Wed Nov 26 07:46:42 UTC 2025","","Books API Tests:","",""
"","139","retrieves author using non-numeric ID returns 400","","Wed Nov 26 07:46:49 UTC 2025","passed","Wed Nov 26 07:46:49 UTC 2025","","Authors API Tests:","",""
"","139","creates author successfully","","Wed Nov 26 07:46:49 UTC 2025","passed","Wed Nov 26 07:46:49 UTC 2025","","Authors API Tests:","",""
"","139","creates book with special characters in fields","","Wed Nov 26 07:46:44 UTC 2025","passed","Wed Nov 26 07:46:45 UTC 2025","","Books API Tests:","",""
"","138","creates book with float pageCount responds with error","","Wed Nov 26 07:46:45 UTC 2025","passed","Wed Nov 26 07:46:45 UTC 2025","","Books API Tests:","",""
"","143","retrieves book by zero ID responds with 404","","Wed Nov 26 07:46:42 UTC 2025","passed","Wed Nov 26 07:46:42 UTC 2025","","Books API Tests:","",""
"","139","deletes author successfully","","Wed Nov 26 07:46:51 UTC 2025","passed","Wed Nov 26 07:46:51 UTC 2025","","Authors API Tests:","",""
"","141","deletes non-existing book responds with 404","","Wed Nov 26 07:46:47 UTC 2025","failed","Wed Nov 26 07:46:47 UTC 2025","","Books API Tests:","",""
